District_wise_Ground_Water_Resources_Data_of_Haryana_State_(In_ham)_of_2020
District wise Ground Water Resources Data of Haryana State (In ham) of 2020,,,,,,,,,
,,,,,,,,,
District Name,Annaul Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft(Total),Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Projected Demand for Domestic & Industrial Use Upto 2025,Groundwater Availability for Future Irrigation Use,Stage of Goundwater Development (%)
Charkhi Dadri,1274.79,22945.08,24219.87,19351.71,1935.16,17416.55,832.04,3980.96,139.06
Faridabad,6055.22,12667.8,18723.02,16273.07,1426.38,14846.69,751.29,0,126.11
Fatehabad,1761.24,89094.85,90856.09,59475.5,5947.55,53527.95,1415.12,199.44,169.74
Gurugram,19349.65,22073.37,41423.02,22691.38,2269.16,20422.22,2232.48,0,202.83
Hisar,596.42,48006.94,48603.36,58878.39,5289.02,53589.37,323.2,9744.14,90.7
Jhajjar,399.94,15389.4,15789.34,36956.35,2914.83,34041.52,262.77,18303.34,46.38
Jind,3820.65,83174.71,86995.36,85663.84,8566.38,77097.46,3106.86,6217,112.84
Kaithal,4743.64,108915.69,113659.33,60214.66,5459.15,54755.51,4169.87,0,207.58
Karnal,8411.32,114374.77,122786.09,80694.58,7604.6,73089.98,5029.01,3342.83,167.99
Kurukshetra,18898.85,67780.88,86679.73,38918.56,3677.52,35241.04,6322.96,0,245.96
Mahendragarh,2509.01,24762.24,27271.25,28468.55,2846.87,25621.68,2477.93,4109,106.44
Mewat,1716.06,12526.28,14242.34,19582.08,1958.21,17623.87,1466.46,5012.65,80.81
Palwal,3999.03,30451.75,34450.78,38736.03,3873.61,34862.42,2557.19,5582.36,98.82
Panchkula,1347.5,7363.08,8710.58,15252.36,1249.36,14003,1257.5,5292.43,62.21
Panipat,3076.66,53406.36,56483.02,35600.98,3560.12,32040.86,2204.14,0,176.28
Rewari,3489.47,31833.15,35322.62,30921.29,3092.12,27829.17,1388.81,702.84,126.93
Rohtak,601.71,14166.66,14768.37,32434.15,2687.56,29746.59,446.18,14967.69,49.65
Sirsa,2017.38,79872.61,81889.99,60564.6,5818.16,54746.44,1863.58,2685.16,149.58
Sonipat,3455.92,62012.69,65468.61,64679.28,5324.12,59355.16,1883.94,10235.53,110.3
Yamuna Nagar,10141.56,67109.37,77250.93,57510.26,5751.03,51759.23,7801.56,159.41,149.25
Ambala,14224.27,39427.89,53652.16,48026.5,4802.65,43223.85,6649.27,1255.45,124.13
Bhiwani,2756,39187.3,41943.3,41806.87,3669.38,38137.49,2612,5257.97,109.98
